TransactionID,TransactionAmount,TransactionDate,R1_HighAmount,AccountID,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,R2_HighLoginAttempts,TimeSinceLastTxn,R3_VeryFrequent,R4_NewDeviceUsed,R5_NewLocationUsed,TotalFlags,R6_SuspiciousMerchant,Fraud_Label
TX000839,637.75,2023-07-24 16:07:05,1,AC00007,Debit,Dallas,D000561,184.57.159.204,M028,Branch,79,Retired,152,1,4202.92,2024-11-04 08:08:51,0,-40492906.0,1,1,1,4,1,1
TX000977,466.64,2023-09-04 16:57:31,0,AC00007,Debit,Las Vegas,D000327,131.41.45.13,M082,ATM,58,Doctor,11,1,10915.11,2024-11-04 08:09:20,0,-36861109.0,1,1,1,3,1,1
TX001336,90.88,2023-11-20 17:08:33,0,AC00007,Debit,Colorado Springs,D000086,175.210.47.87,M071,ATM,26,Engineer,284,1,7117.35,2024-11-04 08:10:50,0,-30207737.0,1,1,1,3,1,1
TX001579,137.48,2023-11-27 17:34:33,0,AC00007,Debit,Seattle,D000206,66.255.7.16,M058,Branch,55,Doctor,47,1,14273.42,2024-11-04 08:08:46,0,-29601253.0,1,1,1,3,1,1
TX002005,76.16,2023-11-21 16:45:29,0,AC00008,Debit,San Francisco,D000539,100.128.70.210,M060,ATM,23,Student,99,1,1072.25,2024-11-04 08:12:04,0,-30122795.0,1,1,1,3,1,1
TX002512,243.08,2023-02-14 16:21:23,0,AC00009,Credit,Jacksonville,D000215,59.127.135.25,M041,Online,24,Student,93,1,131.25,2024-11-04 08:07:49,0,-54315986.0,1,1,1,3,1,1
TX002048,425.18,2023-02-20 16:16:39,1,AC00009,Credit,Fresno,D000270,27.93.195.98,M057,Online,59,Engineer,135,1,5790.55,2024-11-04 08:11:26,0,-53798087.0,1,1,1,4,1,1
TX000868,87.38,2023-03-03 18:23:29,0,AC00009,Debit,Atlanta,D000356,3.200.166.167,M054,Branch,21,Student,252,1,1504.99,2024-11-04 08:09:45,0,-52839976.0,1,1,1,3,1,1
TX000840,153.59,2023-05-04 17:43:59,0,AC00009,Credit,Portland,D000270,204.120.80.105,M001,Branch,66,Retired,174,1,4813.12,2024-11-04 08:09:43,0,-47485544.0,1,0,1,2,1,1
TX000279,74.85,2023-12-25 17:19:08,0,AC00009,Debit,Raleigh,D000526,191.82.103.198,M091,ATM,72,Retired,117,1,2409.73,2024-11-04 08:11:49,0,-27183161.0,1,1,1,3,1,1
TX002367,281.91,2023-01-12 17:10:03,0,AC00010,Debit,Denver,D000312,24.148.92.177,M069,Branch,25,Student,269,1,225.53,2024-11-04 08:07:24,0,-57164241.0,1,1,1,3,1,1
TX001737,7.56,2023-02-06 16:38:45,0,AC00010,Debit,Milwaukee,D000358,205.45.234.42,M070,ATM,40,Doctor,145,1,8528.72,2024-11-04 08:07:19,0,-55006114.0,1,1,1,3,1,1
TX001760,1086.6,2023-05-22 17:40:46,1,AC00010,Debit,San Diego,D000428,74.58.165.67,M016,Online,19,Student,38,1,1605.67,2024-11-04 08:10:48,0,-45930602.0,1,1,1,4,1,1
TX001168,838.57,2023-06-26 16:08:25,0,AC00010,Debit,Phoenix,D000430,115.30.82.168,M040,ATM,41,Doctor,273,1,14576.47,2024-11-04 08:11:25,0,-42912180.0,1,1,1,3,1,1
TX000096,508.68,2023-06-26 16:16:50,0,AC00010,Credit,Mesa,D000622,193.108.17.115,M048,Branch,51,Engineer,127,1,7708.41,2024-11-04 08:09:32,0,-42911562.0,1,1,1,3,1,1
TX000180,34.17,2023-11-21 16:57:43,0,AC00010,Credit,Philadelphia,D000036,177.116.108.246,M091,Online,54,Engineer,54,1,726.55,2024-11-04 08:06:29,0,-30121726.0,1,1,1,3,1,1
TX000202,11.18,2023-11-30 16:52:42,0,AC00010,Debit,Atlanta,D000129,16.51.235.240,M017,Online,43,Doctor,161,1,5956.89,2024-11-04 08:10:20,0,-29344658.0,1,1,1,3,1,1
TX000694,733.29,2023-03-15 18:42:16,0,AC00011,Debit,Virginia Beach,D000618,16.51.235.240,M032,ATM,52,Doctor,94,5,10427.0,2024-11-04 08:07:12,1,-51801896.0,1,1,1,4,1,1
TX000735,117.55,2023-05-19 16:35:07,0,AC00011,Debit,Fresno,D000088,4.101.189.38,M046,ATM,24,Student,35,1,897.94,2024-11-04 08:11:13,0,-46193766.0,1,1,1,3,1,1
TX001015,688.36,2023-06-30 16:31:49,1,AC00011,Credit,Memphis,D000235,200.136.146.93,M007,Branch,23,Student,22,1,5191.13,2024-11-04 08:11:05,0,-42565156.0,1,1,1,4,1,1
TX000098,25.36,2023-07-17 17:08:24,0,AC00011,Debit,Louisville,D000192,62.152.134.92,M007,ATM,57,Engineer,78,1,201.04,2024-11-04 08:11:05,0,-41094161.0,1,1,1,3,1,1
TX000045,304.31,2023-07-26 16:52:28,0,AC00011,Debit,Louisville,D000685,77.208.193.198,M005,Branch,27,Student,33,1,868.61,2024-11-04 08:09:53,0,-40317445.0,1,1,0,2,1,1
TX002023,537.86,2023-09-19 16:44:21,0,AC00011,Debit,Kansas City,D000159,144.228.168.6,M001,Online,27,Student,134,1,293.06,2024-11-04 08:09:27,0,-35565906.0,1,1,1,3,1,1
TX001560,31.53,2023-12-20 17:15:14,0,AC00011,Debit,Kansas City,D000328,37.143.57.20,M095,Online,25,Student,283,1,874.93,2024-11-04 08:06:33,0,-27615079.0,1,1,0,2,1,1
TX002047,94.82,2023-03-21 16:36:30,0,AC00012,Credit,Columbus,D000123,175.230.206.232,M011,Branch,67,Retired,56,1,1267.72,2024-11-04 08:12:17,0,-51291347.0,1,1,1,3,1,1
TX000513,8.65,2023-06-05 17:08:37,0,AC00012,Debit,Las Vegas,D000309,200.136.146.93,M037,Online,48,Doctor,273,1,10778.35,2024-11-04 08:09:03,0,-44722826.0,1,1,1,3,1,1
TX001153,590.57,2023-06-28 16:07:37,1,AC00012,Debit,Milwaukee,D000540,150.231.20.169,M050,ATM,79,Retired,93,1,3224.6,2024-11-04 08:07:19,0,-42739182.0,1,1,1,4,1,1
TX000728,137.49,2023-07-26 16:54:08,0,AC00012,Debit,Fort Worth,D000159,42.61.10.112,M040,ATM,34,Engineer,50,1,4471.05,2024-11-04 08:07:04,0,-40317176.0,1,1,1,3,1,1
TX002152,927.45,2023-08-07 18:52:42,1,AC00012,Debit,Austin,D000210,176.96.83.253,M027,ATM,24,Student,95,1,1161.84,2024-11-04 08:07:13,0,-39273271.0,1,1,1,4,1,1
TX001510,308.8,2023-12-26 16:08:51,0,AC00012,Debit,Baltimore,D000256,65.164.3.100,M018,ATM,53,Retired,41,1,3966.54,2024-11-04 08:09:59,0,-27100868.0,1,1,1,3,1,1
TX000576,33.46,2023-02-20 16:52:03,0,AC00013,Debit,Seattle,D000617,189.248.139.91,M003,ATM,72,Retired,111,1,3641.07,2024-11-04 08:09:12,0,-53795829.0,1,1,1,3,1,1
TX001291,427.69,2023-03-28 16:02:03,1,AC00013,Debit,Raleigh,D000347,24.148.92.177,M088,ATM,43,Engineer,236,1,2443.54,2024-11-04 08:11:53,0,-50688590.0,1,1,1,4,1,1
TX001010,75.04,2023-07-27 17:04:46,0,AC00013,Debit,El Paso,D000037,52.1.78.30,M056,ATM,49,Engineer,178,1,9648.6,2024-11-04 08:07:28,0,-40230162.0,1,1,1,3,1,1
TX002156,172.92,2023-08-28 16:56:05,0,AC00013,Debit,Miami,D000519,214.67.148.245,M052,Online,20,Student,212,1,416.37,2024-11-04 08:08:14,0,-37465929.0,1,1,1,3,1,1
TX000107,114.98,2023-11-01 16:52:01,0,AC00013,Debit,Seattle,D000182,115.218.48.83,M032,Online,59,Retired,80,1,6144.68,2024-11-04 08:09:24,0,-31850243.0,1,1,0,2,1,1
TX001980,422.81,2023-11-20 16:07:20,1,AC00013,Debit,Los Angeles,D000050,77.92.193.22,M036,Branch,28,Student,193,1,1929.28,2024-11-04 08:10:28,0,-30211388.0,1,1,1,4,1,1
TX000780,138.11,2023-12-11 17:29:02,0,AC00013,Credit,Phoenix,D000227,20.147.6.179,M001,Online,68,Retired,104,1,4177.65,2024-11-04 08:07:04,0,-28391882.0,1,1,1,3,1,1
TX000578,246.27,2023-12-27 16:48:30,0,AC00013,Debit,Fresno,D000102,144.91.150.133,M058,Online,29,Doctor,141,1,7299.86,2024-11-04 08:10:57,0,-27012147.0,1,1,1,3,1,1
TX002447,719.76,2023-03-30 17:50:23,0,AC00014,Debit,San Francisco,D000548,161.25.82.11,M038,Branch,19,Student,190,1,690.52,2024-11-04 08:11:25,0,-50509262.0,1,1,1,3,1,1
TX000375,643.22,2023-05-03 17:04:32,0,AC00014,Debit,Atlanta,D000248,175.166.115.182,M073,ATM,64,Doctor,93,1,1035.86,2024-11-04 08:07:46,0,-47574194.0,1,1,1,3,1,1
TX001234,605.42,2023-06-13 16:10:27,0,AC00014,Debit,Mesa,D000488,25.188.196.47,M085,ATM,21,Student,33,1,392.34,2024-11-04 08:09:40,0,-44035153.0,1,1,1,3,1,1
TX000520,121.91,2023-06-26 18:39:52,0,AC00014,Debit,Chicago,D000264,135.29.211.116,M015,Branch,60,Doctor,133,1,14510.8,2024-11-04 08:08:59,0,-42902947.0,1,1,1,3,1,1
TX000080,174.25,2023-07-17 18:54:31,0,AC00014,Debit,Seattle,D000375,130.92.201.49,M032,Online,50,Doctor,67,1,10528.34,2024-11-04 08:10:29,0,-41087758.0,1,1,1,3,1,1
TX000657,427.0,2023-07-31 17:04:29,0,AC00014,Credit,Oklahoma City,D000629,183.39.94.209,M065,Branch,49,Engineer,163,1,8253.65,2024-11-04 08:07:30,0,-39884581.0,1,1,1,3,1,1
TX000022,85.77,2023-08-11 18:31:31,0,AC00014,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,38,Doctor,93,1,9146.19,2024-11-04 08:08:13,0,-38929002.0,1,1,1,3,1,1
TX002124,10.3,2023-12-07 16:59:06,0,AC00014,Debit,Fresno,D000494,150.231.20.169,M022,ATM,47,Engineer,197,1,7801.32,2024-11-04 08:10:12,0,-28739466.0,1,1,1,3,1,1
TX000740,346.65,2024-01-01 16:17:13,0,AC00014,Debit,Washington,D000077,43.98.242.106,M062,Online,30,Engineer,60,1,6356.96,2024-11-04 08:06:58,0,-26581785.0,1,1,1,3,1,1
TX001456,774.48,2023-03-06 16:12:45,0,AC00015,Debit,Louisville,D000233,76.136.92.235,M013,Branch,61,Doctor,31,1,11613.58,2024-11-04 08:08:33,0,-52588548.0,1,1,1,3,1,1
TX001467,73.35,2023-03-13 16:33:49,0,AC00015,Debit,San Francisco,D000340,9.230.41.239,M093,Branch,24,Student,47,1,1181.84,2024-11-04 08:09:57,0,-51982568.0,1,1,1,3,1,1
TX001620,50.9,2023-04-24 16:14:34,0,AC00015,Credit,Jacksonville,D000549,131.41.45.13,M089,Online,28,Student,150,1,1277.7,2024-11-04 08:06:36,0,-48354722.0,1,1,1,3,1,1
TX001562,250.01,2023-11-06 16:28:15,0,AC00015,Debit,Kansas City,D000191,157.47.114.20,M057,ATM,62,Retired,88,1,1541.48,2024-11-04 08:12:10,0,-31419835.0,1,1,1,3,1,1
TX001181,50.0,2023-02-24 18:05:12,0,AC00016,Credit,Jacksonville,D000309,150.231.20.169,M018,ATM,53,Doctor,87,1,185.87,2024-11-04 08:11:22,0,-53445970.0,1,1,1,3,1,1
TX002335,1105.88,2023-03-06 17:37:32,1,AC00016,Debit,Omaha,D000159,41.82.55.163,M047,ATM,34,Engineer,36,1,2636.32,2024-11-04 08:11:22,0,-52583630.0,1,1,1,4,1,1
TX001135,26.27,2023-03-17 16:22:52,0,AC00016,Credit,Portland,D000332,62.27.235.199,M027,Online,45,Engineer,177,1,8853.93,2024-11-04 08:10:21,0,-51637649.0,1,1,1,3,1,1
TX001592,314.52,2023-03-20 17:21:43,0,AC00016,Debit,Memphis,D000361,146.69.70.214,M057,ATM,80,Retired,229,1,7071.32,2024-11-04 08:06:44,0,-51374701.0,1,1,1,3,1,1
TX001969,705.34,2023-09-12 18:52:56,0,AC00016,Debit,Washington,D000562,63.67.150.226,M026,Online,59,Doctor,124,1,5003.22,2024-11-04 08:12:18,0,-36163162.0,1,1,1,3,1,1
TX001542,69.96,2023-10-16 17:43:00,0,AC00016,Debit,Baltimore,D000397,184.146.10.88,M060,Branch,28,Student,31,1,164.12,2024-11-04 08:08:13,0,-33229513.0,1,1,1,3,1,1
TX001864,103.48,2023-01-30 16:04:17,0,AC00017,Debit,Baltimore,D000640,1.98.25.114,M095,ATM,32,Engineer,33,1,6494.25,2024-11-04 08:09:34,0,-55613117.0,1,1,1,3,1,1
TX000952,492.84,2023-03-01 17:43:22,1,AC00017,Debit,Indianapolis,D000514,81.248.235.147,M081,ATM,25,Student,38,1,577.67,2024-11-04 08:09:23,0,-53015161.0,1,1,1,4,1,1
TX001670,261.63,2023-05-29 18:27:43,0,AC00017,Debit,Chicago,D000622,77.7.223.184,M018,Branch,20,Student,150,1,477.03,2024-11-04 08:09:33,0,-45322910.0,1,1,1,3,1,1
TX000971,215.39,2023-06-21 16:23:53,0,AC00017,Debit,Detroit,D000409,196.121.240.10,M019,ATM,27,Student,216,1,1582.55,2024-11-04 08:11:13,0,-43343240.0,1,1,1,3,1,1
TX001337,60.11,2023-11-27 17:39:39,0,AC00017,Credit,Albuquerque,D000636,8.243.4.138,M067,Branch,61,Retired,122,1,7235.87,2024-11-04 08:08:09,0,-29600910.0,1,1,1,3,1,1
TX001498,1228.81,2023-02-20 16:36:36,0,AC00018,Debit,San Francisco,D000381,63.191.171.41,M034,ATM,26,Student,254,1,1821.0,2024-11-04 08:09:05,0,-53796749.0,1,1,1,3,1,1
TX001802,331.32,2023-06-05 17:24:29,0,AC00018,Debit,Sacramento,D000334,200.164.13.160,M078,Branch,61,Doctor,137,5,13054.54,2024-11-04 08:07:35,1,-44721786.0,1,1,1,4,1,1
TX000102,98.54,2023-08-11 16:18:46,0,AC00018,Credit,El Paso,D000528,34.125.226.63,M095,Online,20,Student,167,1,9383.43,2024-11-04 08:10:02,0,-38937076.0,1,1,1,3,1,1
TX002086,291.46,2023-02-08 16:29:56,0,AC00019,Debit,Miami,D000665,149.84.108.18,M046,ATM,57,Retired,135,1,7142.53,2024-11-04 08:10:03,0,-54834007.0,1,1,1,3,1,1
TX001683,41.13,2023-03-27 17:53:15,0,AC00019,Credit,Philadelphia,D000655,109.42.41.157,M030,Branch,77,Retired,58,1,6067.54,2024-11-04 08:10:03,0,-50768208.0,1,1,1,3,1,1
TX002414,489.31,2023-04-03 16:34:10,1,AC00019,Debit,Louisville,D000293,156.235.3.171,M089,Branch,43,Engineer,36,1,5595.22,2024-11-04 08:12:22,0,-50168292.0,1,1,1,4,1,1
TX000003,126.29,2023-07-10 18:16:08,0,AC00019,Debit,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35,2024-11-04 08:07:04,0,-41694656.0,1,1,1,3,1,1
TX001326,359.65,2023-01-12 17:58:56,0,AC00020,Credit,Jacksonville,D000133,45.64.74.86,M085,Online,25,Student,289,1,219.53,2024-11-04 08:09:04,0,-57161408.0,1,1,1,3,1,1
TX001830,91.77,2023-03-15 17:39:11,0,AC00020,Debit,Omaha,D000504,93.160.83.196,M042,Branch,51,Doctor,174,1,9240.73,2024-11-04 08:07:12,0,-51805681.0,1,1,1,3,1,1
TX000404,353.82,2023-04-10 17:57:59,1,AC00020,Debit,Milwaukee,D000043,72.128.135.172,M035,ATM,42,Doctor,143,1,705.75,2024-11-04 08:06:40,0,-49558121.0,1,1,1,4,1,1
TX002028,28.52,2023-06-02 16:54:12,0,AC00020,Debit,Detroit,D000700,40.10.25.102,M021,ATM,20,Student,163,1,662.51,2024-11-04 08:08:28,0,-44982856.0,1,1,1,3,1,1
TX000206,288.04,2023-08-24 16:47:21,0,AC00020,Debit,Denver,D000582,205.69.66.135,M092,ATM,68,Retired,63,1,1748.02,2024-11-04 08:10:00,0,-37812159.0,1,1,1,3,1,1
TX001259,603.23,2023-08-24 17:34:13,1,AC00020,Debit,Detroit,D000238,38.210.156.148,M017,Branch,28,Student,48,1,117.98,2024-11-04 08:08:18,0,-37809245.0,1,1,0,3,1,1
TX001715,589.64,2023-09-21 16:05:38,1,AC00020,Debit,Charlotte,D000443,187.52.200.18,M050,Online,62,Retired,210,1,2039.4,2024-11-04 08:11:53,0,-35395575.0,1,1,1,4,1,1
TX002170,592.24,2023-10-16 16:49:07,0,AC00020,Debit,Tucson,D000201,159.37.30.154,M034,ATM,52,Doctor,140,1,9817.05,2024-11-04 08:07:20,0,-33232693.0,1,1,1,3,1,1
TX001139,881.1,2023-11-13 16:46:06,1,AC00020,Debit,Phoenix,D000309,87.50.72.69,M093,Branch,28,Student,16,1,9951.68,2024-11-04 08:08:10,0,-30813724.0,1,1,1,4,1,1
TX001821,263.59,2023-01-23 16:03:04,0,AC00021,Debit,Dallas,D000333,150.25.200.56,M052,Branch,71,Retired,16,1,6996.35,2024-11-04 08:12:00,0,-56218136.0,1,1,1,3,1,1
TX002112,762.74,2023-05-02 17:24:54,1,AC00021,Debit,Los Angeles,D000196,8.136.178.116,M053,ATM,64,Doctor,244,1,207.1,2024-11-04 08:06:39,0,-47659305.0,1,1,1,4,1,1
TX002126,416.55,2023-05-05 17:31:53,0,AC00021,Debit,Oklahoma City,D000430,188.205.152.176,M038,Online,33,Engineer,73,1,922.96,2024-11-04 08:07:20,0,-47399727.0,1,1,1,3,1,1
TX000382,180.24,2023-07-03 17:03:48,0,AC00021,Debit,Phoenix,D000106,169.67.220.37,M098,Branch,58,Engineer,144,1,8431.23,2024-11-04 08:09:17,0,-42303929.0,1,1,1,3,1,1
TX001998,1142.83,2023-07-14 17:44:23,1,AC00021,Credit,Omaha,D000493,219.98.242.240,M028,Branch,61,Retired,48,1,2467.39,2024-11-04 08:11:26,0,-41351223.0,1,1,1,4,1,1
TX000459,275.92,2023-09-18 18:47:52,0,AC00021,Credit,Nashville,D000315,112.196.12.19,M042,Branch,62,Retired,107,1,1777.38,2024-11-04 08:07:39,0,-35644787.0,1,1,1,3,1,1
TX001776,486.61,2023-11-28 16:17:29,0,AC00021,Credit,Sacramento,D000334,152.140.239.181,M047,ATM,48,Engineer,130,1,2006.69,2024-11-04 08:06:34,0,-29519345.0,1,1,1,3,1,1
TX002149,734.86,2023-12-08 16:36:30,0,AC00021,Credit,Boston,D000198,134.140.85.231,M075,Branch,48,Engineer,290,1,6242.03,2024-11-04 08:08:49,0,-28654339.0,1,1,1,3,1,1
TX000078,91.53,2023-03-13 16:32:12,0,AC00022,Debit,Milwaukee,D000363,94.37.250.128,M095,Branch,44,Doctor,69,1,14676.05,2024-11-04 08:11:36,0,-51982764.0,1,1,1,3,1,1
TX001771,1.82,2023-04-13 17:35:38,0,AC00022,Debit,San Francisco,D000652,146.250.144.172,M009,Online,80,Retired,60,1,5571.39,2024-11-04 08:09:18,0,-49300420.0,1,1,1,3,1,1
TX000584,514.33,2023-06-02 16:27:08,1,AC00022,Debit,Philadelphia,D000478,218.54.207.160,M017,Branch,25,Student,160,1,1592.94,2024-11-04 08:12:17,0,-44984709.0,1,1,1,4,1,1
TX001053,168.0,2023-08-24 16:01:40,0,AC00022,Credit,Tucson,D000669,72.128.135.172,M053,Branch,32,Engineer,11,1,3498.58,2024-11-04 08:12:20,0,-37815040.0,1,1,1,3,1,1
