TransactionID,TransactionAmount,TransactionDate,R1_HighAmount,AccountID,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,R2_HighLoginAttempts,PreviousTransactionDate_calc,TimeSinceLastTxn,TxnCount2Min,R3_VeryFrequent,R4_SuspiciousDevice,R5_SuspiciousLocation,R6_HighAmountSuspiciousContext,R7_SuspiciousMerchant,R8_CompositeRule,Fraud_Label
TX000195,488.54,2023-07-03 17:47:49,0,AC00005,Debit,Jacksonville,D000466,198.24.183.157,M036,Branch,52,Engineer,132,1,7486.63,2024-11-04 08:07:26,0,2023-06-26 16:21:14,609995.0,1,0,0,0,0,0,0,0
TX001971,116.89,2023-11-20 16:31:15,0,AC00005,Debit,Columbus,D000328,146.250.144.172,M064,Online,71,Retired,226,1,4880.31,2024-11-04 08:06:37,0,2023-07-03 17:47:49,12091406.0,1,0,0,0,0,0,0,0
TX002083,359.51,2023-11-30 18:08:39,0,AC00005,Debit,Charlotte,D000144,32.169.88.41,M010,Online,79,Retired,157,1,7153.72,2024-11-04 08:12:11,0,2023-11-20 16:31:15,869844.0,1,0,0,0,0,0,0,0
TX001038,107.48,2023-12-04 18:01:53,0,AC00005,Debit,Omaha,D000221,44.73.3.217,M080,Branch,22,Student,129,1,591.23,2024-11-04 08:08:11,0,2023-11-30 18:08:39,345194.0,1,0,0,0,0,0,0,0
TX000662,158.56,2023-02-28 17:28:13,0,AC00006,Debit,Sacramento,D000027,218.238.171.184,M087,ATM,33,Doctor,100,1,5401.21,2024-11-04 08:10:48,0,,-1.0,1,0,0,0,0,0,0,0
TX000216,74.88,2023-05-24 16:25:50,0,AC00006,Debit,Atlanta,D000139,161.161.26.115,M026,ATM,25,Student,202,1,420.67,2024-11-04 08:07:46,0,2023-02-28 17:28:13,7340257.0,1,0,0,0,0,0,0,0
TX001406,611.15,2023-08-11 17:12:30,0,AC00006,Debit,Detroit,D000044,51.250.46.149,M009,ATM,27,Student,121,1,892.83,2024-11-04 08:09:23,0,2023-05-24 16:25:50,6828400.0,1,0,0,0,0,0,0,0
TX001977,173.13,2023-10-05 16:46:31,0,AC00006,Credit,Atlanta,D000485,5.50.152.168,M044,Online,20,Student,288,1,1490.34,2024-11-04 08:07:24,0,2023-08-11 17:12:30,4750441.0,1,0,0,0,0,0,0,0
TX000077,162.63,2023-06-12 17:53:52,0,AC00007,Debit,Kansas City,D000070,60.153.124.80,M060,Online,22,Student,113,1,634.17,2024-11-04 08:08:22,0,,-1.0,1,0,0,0,0,0,0,0
TX000839,637.75,2023-07-24 16:07:05,0,AC00007,Debit,Dallas,D000561,184.57.159.204,M028,Branch,79,Retired,152,1,4202.92,2024-11-04 08:08:51,0,2023-06-12 17:53:52,3622393.0,1,0,0,0,0,0,0,0
TX000977,466.64,2023-09-04 16:57:31,0,AC00007,Debit,Las Vegas,D000327,131.41.45.13,M082,ATM,58,Doctor,11,1,10915.11,2024-11-04 08:09:20,0,2023-07-24 16:07:05,3631826.0,1,0,0,0,0,0,0,0
TX001336,90.88,2023-11-20 17:08:33,0,AC00007,Debit,Colorado Springs,D000086,175.210.47.87,M071,ATM,26,Engineer,284,1,7117.35,2024-11-04 08:10:50,0,2023-09-04 16:57:31,6653462.0,1,0,0,0,0,0,0,0
TX001579,137.48,2023-11-27 17:34:33,0,AC00007,Debit,Seattle,D000206,66.255.7.16,M058,Branch,55,Doctor,47,1,14273.42,2024-11-04 08:08:46,0,2023-11-20 17:08:33,606360.0,1,0,0,0,0,0,0,0
TX002005,76.16,2023-11-21 16:45:29,0,AC00008,Debit,San Francisco,D000539,100.128.70.210,M060,ATM,23,Student,99,1,1072.25,2024-11-04 08:12:04,0,,-1.0,1,0,0,0,0,0,0,0
TX002512,243.08,2023-02-14 16:21:23,0,AC00009,Credit,Jacksonville,D000215,59.127.135.25,M041,Online,24,Student,93,1,131.25,2024-11-04 08:07:49,0,,-1.0,1,0,0,0,0,0,0,0
TX002048,425.18,2023-02-20 16:16:39,0,AC00009,Credit,Fresno,D000270,27.93.195.98,M057,Online,59,Engineer,135,1,5790.55,2024-11-04 08:11:26,0,2023-02-14 16:21:23,518116.0,1,0,0,0,0,0,0,0
TX000868,87.38,2023-03-03 18:23:29,0,AC00009,Debit,Atlanta,D000356,3.200.166.167,M054,Branch,21,Student,252,1,1504.99,2024-11-04 08:09:45,0,2023-02-20 16:16:39,958010.0,1,0,0,0,0,0,0,0
TX000840,153.59,2023-05-04 17:43:59,0,AC00009,Credit,Portland,D000270,204.120.80.105,M001,Branch,66,Retired,174,1,4813.12,2024-11-04 08:09:43,0,2023-03-03 18:23:29,5354430.0,1,0,0,0,0,0,0,0
TX000279,74.85,2023-12-25 17:19:08,0,AC00009,Debit,Raleigh,D000526,191.82.103.198,M091,ATM,72,Retired,117,1,2409.73,2024-11-04 08:11:49,0,2023-05-04 17:43:59,20302509.0,1,0,0,0,0,0,0,0
TX002367,281.91,2023-01-12 17:10:03,0,AC00010,Debit,Denver,D000312,24.148.92.177,M069,Branch,25,Student,269,1,225.53,2024-11-04 08:07:24,0,,-1.0,1,0,0,0,0,0,0,0
TX001737,7.56,2023-02-06 16:38:45,0,AC00010,Debit,Milwaukee,D000358,205.45.234.42,M070,ATM,40,Doctor,145,1,8528.72,2024-11-04 08:07:19,0,2023-01-12 17:10:03,2158122.0,1,0,0,0,0,0,0,0
TX001760,1086.6,2023-05-22 17:40:46,1,AC00010,Debit,San Diego,D000428,74.58.165.67,M016,Online,19,Student,38,1,1605.67,2024-11-04 08:10:48,0,2023-02-06 16:38:45,9075721.0,1,0,0,0,0,0,0,1
TX001168,838.57,2023-06-26 16:08:25,0,AC00010,Debit,Phoenix,D000430,115.30.82.168,M040,ATM,41,Doctor,273,1,14576.47,2024-11-04 08:11:25,0,2023-05-22 17:40:46,3018459.0,1,0,0,0,0,0,0,0
TX000096,508.68,2023-06-26 16:16:50,0,AC00010,Credit,Mesa,D000622,193.108.17.115,M048,Branch,51,Engineer,127,1,7708.41,2024-11-04 08:09:32,0,2023-06-26 16:08:25,505.0,1,0,0,0,0,0,0,0
TX000180,34.17,2023-11-21 16:57:43,0,AC00010,Credit,Philadelphia,D000036,177.116.108.246,M091,Online,54,Engineer,54,1,726.55,2024-11-04 08:06:29,0,2023-06-26 16:16:50,12789653.0,1,0,0,0,0,0,0,0
TX000202,11.18,2023-11-30 16:52:42,0,AC00010,Debit,Atlanta,D000129,16.51.235.240,M017,Online,43,Doctor,161,1,5956.89,2024-11-04 08:10:20,0,2023-11-21 16:57:43,777299.0,1,0,0,0,0,0,0,0
TX000694,733.29,2023-03-15 18:42:16,0,AC00011,Debit,Virginia Beach,D000618,16.51.235.240,M032,ATM,52,Doctor,94,5,10427.0,2024-11-04 08:07:12,1,,-1.0,1,0,0,0,0,0,0,1
TX000735,117.55,2023-05-19 16:35:07,0,AC00011,Debit,Fresno,D000088,4.101.189.38,M046,ATM,24,Student,35,1,897.94,2024-11-04 08:11:13,0,2023-03-15 18:42:16,5608371.0,1,0,0,0,0,0,0,0
TX001015,688.36,2023-06-30 16:31:49,0,AC00011,Credit,Memphis,D000235,200.136.146.93,M007,Branch,23,Student,22,1,5191.13,2024-11-04 08:11:05,0,2023-05-19 16:35:07,3628602.0,1,0,0,0,0,0,0,0
TX000098,25.36,2023-07-17 17:08:24,0,AC00011,Debit,Louisville,D000192,62.152.134.92,M007,ATM,57,Engineer,78,1,201.04,2024-11-04 08:11:05,0,2023-06-30 16:31:49,1470995.0,1,0,0,0,0,0,0,0
TX000045,304.31,2023-07-26 16:52:28,0,AC00011,Debit,Louisville,D000685,77.208.193.198,M005,Branch,27,Student,33,1,868.61,2024-11-04 08:09:53,0,2023-07-17 17:08:24,776644.0,1,0,0,0,0,0,0,0
TX002023,537.86,2023-09-19 16:44:21,0,AC00011,Debit,Kansas City,D000159,144.228.168.6,M001,Online,27,Student,134,1,293.06,2024-11-04 08:09:27,0,2023-07-26 16:52:28,4751513.0,1,0,0,0,0,0,0,0
TX001560,31.53,2023-12-20 17:15:14,0,AC00011,Debit,Kansas City,D000328,37.143.57.20,M095,Online,25,Student,283,1,874.93,2024-11-04 08:06:33,0,2023-09-19 16:44:21,7950653.0,1,0,0,0,0,0,0,0
TX002047,94.82,2023-03-21 16:36:30,0,AC00012,Credit,Columbus,D000123,175.230.206.232,M011,Branch,67,Retired,56,1,1267.72,2024-11-04 08:12:17,0,,-1.0,1,0,0,0,0,0,0,0
TX000513,8.65,2023-06-05 17:08:37,0,AC00012,Debit,Las Vegas,D000309,200.136.146.93,M037,Online,48,Doctor,273,1,10778.35,2024-11-04 08:09:03,0,2023-03-21 16:36:30,6568327.0,1,0,0,0,0,0,0,0
TX001153,590.57,2023-06-28 16:07:37,1,AC00012,Debit,Milwaukee,D000540,150.231.20.169,M050,ATM,79,Retired,93,1,3224.6,2024-11-04 08:07:19,0,2023-06-05 17:08:37,1983540.0,1,0,0,0,0,0,0,1
TX000728,137.49,2023-07-26 16:54:08,0,AC00012,Debit,Fort Worth,D000159,42.61.10.112,M040,ATM,34,Engineer,50,1,4471.05,2024-11-04 08:07:04,0,2023-06-28 16:07:37,2421991.0,1,0,0,0,0,0,0,0
TX002152,927.45,2023-08-07 18:52:42,1,AC00012,Debit,Austin,D000210,176.96.83.253,M027,ATM,24,Student,95,1,1161.84,2024-11-04 08:07:13,0,2023-07-26 16:54:08,1043914.0,1,0,0,0,0,0,0,1
TX001510,308.8,2023-12-26 16:08:51,0,AC00012,Debit,Baltimore,D000256,65.164.3.100,M018,ATM,53,Retired,41,1,3966.54,2024-11-04 08:09:59,0,2023-08-07 18:52:42,12172569.0,1,0,0,0,0,0,0,0
TX000576,33.46,2023-02-20 16:52:03,0,AC00013,Debit,Seattle,D000617,189.248.139.91,M003,ATM,72,Retired,111,1,3641.07,2024-11-04 08:09:12,0,,-1.0,1,0,0,0,0,0,0,0
TX001291,427.69,2023-03-28 16:02:03,1,AC00013,Debit,Raleigh,D000347,24.148.92.177,M088,ATM,43,Engineer,236,1,2443.54,2024-11-04 08:11:53,0,2023-02-20 16:52:03,3107400.0,1,0,0,0,0,0,0,1
TX001010,75.04,2023-07-27 17:04:46,0,AC00013,Debit,El Paso,D000037,52.1.78.30,M056,ATM,49,Engineer,178,1,9648.6,2024-11-04 08:07:28,0,2023-03-28 16:02:03,10458163.0,1,0,0,0,0,0,0,0
TX002156,172.92,2023-08-28 16:56:05,0,AC00013,Debit,Miami,D000519,214.67.148.245,M052,Online,20,Student,212,1,416.37,2024-11-04 08:08:14,0,2023-07-27 17:04:46,2764279.0,1,0,0,0,0,0,0,0
TX000107,114.98,2023-11-01 16:52:01,0,AC00013,Debit,Seattle,D000182,115.218.48.83,M032,Online,59,Retired,80,1,6144.68,2024-11-04 08:09:24,0,2023-08-28 16:56:05,5615756.0,1,0,0,0,0,0,0,0
TX001980,422.81,2023-11-20 16:07:20,1,AC00013,Debit,Los Angeles,D000050,77.92.193.22,M036,Branch,28,Student,193,1,1929.28,2024-11-04 08:10:28,0,2023-11-01 16:52:01,1638919.0,1,0,0,0,0,0,0,1
TX000780,138.11,2023-12-11 17:29:02,0,AC00013,Credit,Phoenix,D000227,20.147.6.179,M001,Online,68,Retired,104,1,4177.65,2024-11-04 08:07:04,0,2023-11-20 16:07:20,1819302.0,1,0,0,0,0,0,0,0
TX000578,246.27,2023-12-27 16:48:30,0,AC00013,Debit,Fresno,D000102,144.91.150.133,M058,Online,29,Doctor,141,1,7299.86,2024-11-04 08:10:57,0,2023-12-11 17:29:02,1379968.0,1,0,0,0,0,0,0,0
TX002447,719.76,2023-03-30 17:50:23,0,AC00014,Debit,San Francisco,D000548,161.25.82.11,M038,Branch,19,Student,190,1,690.52,2024-11-04 08:11:25,0,,-1.0,1,0,0,0,0,0,0,0
TX000375,643.22,2023-05-03 17:04:32,0,AC00014,Debit,Atlanta,D000248,175.166.115.182,M073,ATM,64,Doctor,93,1,1035.86,2024-11-04 08:07:46,0,2023-03-30 17:50:23,2934849.0,1,0,0,0,0,0,0,0
TX001234,605.42,2023-06-13 16:10:27,0,AC00014,Debit,Mesa,D000488,25.188.196.47,M085,ATM,21,Student,33,1,392.34,2024-11-04 08:09:40,0,2023-05-03 17:04:32,3539155.0,1,0,0,0,0,0,0,0
TX000520,121.91,2023-06-26 18:39:52,0,AC00014,Debit,Chicago,D000264,135.29.211.116,M015,Branch,60,Doctor,133,1,14510.8,2024-11-04 08:08:59,0,2023-06-13 16:10:27,1132165.0,1,0,0,0,0,0,0,0
TX000080,174.25,2023-07-17 18:54:31,0,AC00014,Debit,Seattle,D000375,130.92.201.49,M032,Online,50,Doctor,67,1,10528.34,2024-11-04 08:10:29,0,2023-06-26 18:39:52,1815279.0,1,0,0,0,0,0,0,0
TX000657,427.0,2023-07-31 17:04:29,0,AC00014,Credit,Oklahoma City,D000629,183.39.94.209,M065,Branch,49,Engineer,163,1,8253.65,2024-11-04 08:07:30,0,2023-07-17 18:54:31,1202998.0,1,0,0,0,0,0,0,0
TX000022,85.77,2023-08-11 18:31:31,0,AC00014,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,38,Doctor,93,1,9146.19,2024-11-04 08:08:13,0,2023-07-31 17:04:29,955622.0,1,0,0,0,0,0,0,0
TX002124,10.3,2023-12-07 16:59:06,0,AC00014,Debit,Fresno,D000494,150.231.20.169,M022,ATM,47,Engineer,197,1,7801.32,2024-11-04 08:10:12,0,2023-08-11 18:31:31,10189655.0,1,0,0,0,0,0,0,0
TX000740,346.65,2024-01-01 16:17:13,0,AC00014,Debit,Washington,D000077,43.98.242.106,M062,Online,30,Engineer,60,1,6356.96,2024-11-04 08:06:58,0,2023-12-07 16:59:06,2157487.0,1,0,0,0,0,0,0,0
TX001456,774.48,2023-03-06 16:12:45,0,AC00015,Debit,Louisville,D000233,76.136.92.235,M013,Branch,61,Doctor,31,1,11613.58,2024-11-04 08:08:33,0,,-1.0,1,0,0,0,0,0,0,0
TX001467,73.35,2023-03-13 16:33:49,0,AC00015,Debit,San Francisco,D000340,9.230.41.239,M093,Branch,24,Student,47,1,1181.84,2024-11-04 08:09:57,0,2023-03-06 16:12:45,606064.0,1,0,0,0,0,0,0,0
TX001620,50.9,2023-04-24 16:14:34,0,AC00015,Credit,Jacksonville,D000549,131.41.45.13,M089,Online,28,Student,150,1,1277.7,2024-11-04 08:06:36,0,2023-03-13 16:33:49,3627645.0,1,0,0,0,0,0,0,0
TX001562,250.01,2023-11-06 16:28:15,0,AC00015,Debit,Kansas City,D000191,157.47.114.20,M057,ATM,62,Retired,88,1,1541.48,2024-11-04 08:12:10,0,2023-04-24 16:14:34,16935221.0,1,0,0,0,0,0,0,0
TX001181,50.0,2023-02-24 18:05:12,0,AC00016,Credit,Jacksonville,D000309,150.231.20.169,M018,ATM,53,Doctor,87,1,185.87,2024-11-04 08:11:22,0,,-1.0,1,0,0,0,0,0,0,0
TX002335,1105.88,2023-03-06 17:37:32,1,AC00016,Debit,Omaha,D000159,41.82.55.163,M047,ATM,34,Engineer,36,1,2636.32,2024-11-04 08:11:22,0,2023-02-24 18:05:12,862340.0,1,0,0,0,0,0,0,1
TX001135,26.27,2023-03-17 16:22:52,0,AC00016,Credit,Portland,D000332,62.27.235.199,M027,Online,45,Engineer,177,1,8853.93,2024-11-04 08:10:21,0,2023-03-06 17:37:32,945920.0,1,0,0,0,0,0,0,0
TX001592,314.52,2023-03-20 17:21:43,0,AC00016,Debit,Memphis,D000361,146.69.70.214,M057,ATM,80,Retired,229,1,7071.32,2024-11-04 08:06:44,0,2023-03-17 16:22:52,262731.0,1,0,0,0,0,0,0,0
TX001969,705.34,2023-09-12 18:52:56,0,AC00016,Debit,Washington,D000562,63.67.150.226,M026,Online,59,Doctor,124,1,5003.22,2024-11-04 08:12:18,0,2023-03-20 17:21:43,15211873.0,1,0,0,0,0,0,0,0
TX001542,69.96,2023-10-16 17:43:00,0,AC00016,Debit,Baltimore,D000397,184.146.10.88,M060,Branch,28,Student,31,1,164.12,2024-11-04 08:08:13,0,2023-09-12 18:52:56,2933404.0,1,0,0,0,0,0,0,0
TX001864,103.48,2023-01-30 16:04:17,0,AC00017,Debit,Baltimore,D000640,1.98.25.114,M095,ATM,32,Engineer,33,1,6494.25,2024-11-04 08:09:34,0,,-1.0,1,0,0,0,0,0,0,0
TX000952,492.84,2023-03-01 17:43:22,0,AC00017,Debit,Indianapolis,D000514,81.248.235.147,M081,ATM,25,Student,38,1,577.67,2024-11-04 08:09:23,0,2023-01-30 16:04:17,2597945.0,1,0,0,0,0,0,0,0
TX001670,261.63,2023-05-29 18:27:43,0,AC00017,Debit,Chicago,D000622,77.7.223.184,M018,Branch,20,Student,150,1,477.03,2024-11-04 08:09:33,0,2023-03-01 17:43:22,7692261.0,1,0,0,0,0,0,0,0
TX000971,215.39,2023-06-21 16:23:53,0,AC00017,Debit,Detroit,D000409,196.121.240.10,M019,ATM,27,Student,216,1,1582.55,2024-11-04 08:11:13,0,2023-05-29 18:27:43,1979770.0,1,0,0,0,0,0,0,0
TX001337,60.11,2023-11-27 17:39:39,0,AC00017,Credit,Albuquerque,D000636,8.243.4.138,M067,Branch,61,Retired,122,1,7235.87,2024-11-04 08:08:09,0,2023-06-21 16:23:53,13742146.0,1,0,0,0,0,0,0,0
TX001498,1228.81,2023-02-20 16:36:36,0,AC00018,Debit,San Francisco,D000381,63.191.171.41,M034,ATM,26,Student,254,1,1821.0,2024-11-04 08:09:05,0,,-1.0,1,0,0,0,0,0,0,0
TX001802,331.32,2023-06-05 17:24:29,0,AC00018,Debit,Sacramento,D000334,200.164.13.160,M078,Branch,61,Doctor,137,5,13054.54,2024-11-04 08:07:35,1,2023-02-20 16:36:36,9074873.0,1,0,0,0,0,0,0,1
TX000102,98.54,2023-08-11 16:18:46,0,AC00018,Credit,El Paso,D000528,34.125.226.63,M095,Online,20,Student,167,1,9383.43,2024-11-04 08:10:02,0,2023-06-05 17:24:29,5784857.0,1,0,0,0,0,0,0,0
TX002086,291.46,2023-02-08 16:29:56,0,AC00019,Debit,Miami,D000665,149.84.108.18,M046,ATM,57,Retired,135,1,7142.53,2024-11-04 08:10:03,0,,-1.0,1,0,0,0,0,0,0,0
TX001683,41.13,2023-03-27 17:53:15,0,AC00019,Credit,Philadelphia,D000655,109.42.41.157,M030,Branch,77,Retired,58,1,6067.54,2024-11-04 08:10:03,0,2023-02-08 16:29:56,4065799.0,1,0,0,0,0,0,0,0
TX002414,489.31,2023-04-03 16:34:10,0,AC00019,Debit,Louisville,D000293,156.235.3.171,M089,Branch,43,Engineer,36,1,5595.22,2024-11-04 08:12:22,0,2023-03-27 17:53:15,600055.0,1,0,0,0,0,0,0,0
TX000003,126.29,2023-07-10 18:16:08,0,AC00019,Debit,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35,2024-11-04 08:07:04,0,2023-04-03 16:34:10,8473318.0,1,0,0,0,0,0,0,0
TX001326,359.65,2023-01-12 17:58:56,0,AC00020,Credit,Jacksonville,D000133,45.64.74.86,M085,Online,25,Student,289,1,219.53,2024-11-04 08:09:04,0,,-1.0,1,0,0,0,0,0,0,0
TX001830,91.77,2023-03-15 17:39:11,0,AC00020,Debit,Omaha,D000504,93.160.83.196,M042,Branch,51,Doctor,174,1,9240.73,2024-11-04 08:07:12,0,2023-01-12 17:58:56,5355615.0,1,0,0,0,0,0,0,0
TX000404,353.82,2023-04-10 17:57:59,1,AC00020,Debit,Milwaukee,D000043,72.128.135.172,M035,ATM,42,Doctor,143,1,705.75,2024-11-04 08:06:40,0,2023-03-15 17:39:11,2247528.0,1,0,0,0,0,0,0,1
TX002028,28.52,2023-06-02 16:54:12,0,AC00020,Debit,Detroit,D000700,40.10.25.102,M021,ATM,20,Student,163,1,662.51,2024-11-04 08:08:28,0,2023-04-10 17:57:59,4575373.0,1,0,0,0,0,0,0,0
TX000206,288.04,2023-08-24 16:47:21,0,AC00020,Debit,Denver,D000582,205.69.66.135,M092,ATM,68,Retired,63,1,1748.02,2024-11-04 08:10:00,0,2023-06-02 16:54:12,7170789.0,1,0,0,0,0,0,0,0
TX001259,603.23,2023-08-24 17:34:13,1,AC00020,Debit,Detroit,D000238,38.210.156.148,M017,Branch,28,Student,48,1,117.98,2024-11-04 08:08:18,0,2023-08-24 16:47:21,2812.0,1,0,0,0,0,0,0,1
